ID,ReviewRating,ProfilePhoto,Tokens,Characters,Paragraphs,Sentences,Sentences per Paragraph,Tokens per Sentence,Characters per Token,Passive Sentences,Review Polarity,Title Depth,Title Polarity,SimilarWords,HardToSpellWords,Nouns,Verbs,Adverbs,Adjectives,NetLingo,Smileys,Hash,SpellMistakes%,StopWords%,SMOG,FLESCH_READING,FLESCH_KINCAID,ARI,COLEMAN_LIAU,GUNNING_FOG,SMOG_INDEX,COMPLEXWORDS,SYLLABLES,AboutDisclosure,BadgeCount,MemberSince,PastRatings,AveragPastRatings,Past Reviews,HelpfulVotes,TotalVotes,Label
6239,10,0,226,996,3,10,3.3,22.4,4.2,65.3,-1.352584263,8,0,35.13513514,1.544401544,11.25541126,1.731601732,5.194805195,6.060606061,0,0,0,6.94980695,46.33204633,9.726,68.002,8.474,7.719,7.824,10,9.325,16,321,0,3,17,0,0,0,543,695,High
6817,10,0,511,2.13,1,27,27,18.9,3.9,74.3,1.985766448,5,0,27.25779967,1.477832512,10.33112583,2.38410596,5.298013245,5.165562914,0,0,0,2.463054187,50.57471264,8.842,76.727,7.536,6.706,5.856,9.6,8.477,26,676,0,2,18,0,0,0,383,471,High
4337,10,1,476,2.244,6,32,5.3,14.8,4.5,69.9,2.651574874,4,0,37.5,1.964285714,5.617977528,1.926163724,2.086677368,2.64847512,0,0,0,5,43.92857143,10.198,69.432,7.325,7.034,9.357,10,9.778,49,697,0,7,18,309,8.669903,67,333,388,High
2631,10,1,604,2.985,5,28,5.6,21.5,4.8,53.1,1.700188153,8,0.039306523,41.95402299,1.293103448,5.790884718,0.428954424,1.715817694,1.983914209,0,0,0,7.327586207,42.09770115,12.688,54.304,10.736,11.005,11.047,13.2,12.165,84,951,1,5,10,4202,7.113517,3574,74,82,High
4887,8,0,837,3.804,9,42,4.6,19.9,4.4,60.2,3.548859942,6,0.375,35.86278586,2.806652807,4.456721915,0.662983425,1.841620626,1.915285451,0,0.097213221,0.032404407,5.509355509,46.25779626,11.546,62.048,9.719,9.165,8.588,12,11.07,89,1236,0,3,18,593,8.106239,593,64,96,High
5514,10,0,751,3.331,11,42,4.2,17.7,4.3,71.8,-4.190472666,5,0.123175182,28.16091954,2.068965517,2.769055096,0.913502712,1.741364545,1.769911504,0,0.075834176,0.025278059,1.83908046,52.87356322,10.236,73.224,7.701,7.108,7.172,10.4,9.814,65,1066,1,4,16,0,0,37,38,52,High
4047,10,0,184,840,2,6,3,30.6,4.4,57.3,1.99628798,6,0.068181818,32.85714286,1.428571429,0.704225352,0.216684724,0.352112676,0.297941495,0,0.072011522,0.024003841,2.857142857,51.9047619,12.688,47.18,15.92,17.707,9.882,17.6,12.165,14,268,0,2,11,0,0,0,24,33,High
4803,8,1,468,2.1,6,20,3.3,18.8,4.3,67.6,-1.596044459,7,0,37.13163065,3.536345776,1.77799135,0.336376742,0.696780394,0.888995675,0,0.064171123,0.021390374,8.055009823,49.70530452,11.304,62.333,10.019,10.276,9.124,12,10.838,43,666,0,5,15,0,0,3891,84,155,Low
7005,10,0,206,967,1,13,13,15.8,4.5,64.2,-0.579318968,10,-0.289011737,34.48275862,3.448275862,0.823987182,0.183108263,0.228885328,0.228885328,0,0.061137151,0.02037905,2.586206897,50,11.662,62.343,8.52,7.943,9.975,11.6,11.181,29,314,0,2,16,0,0,25,20,29,High
663,10,1,141,631,1,13,13,10.8,4.3,71.6,1.994684018,4,0.159090909,34.81012658,3.797468354,0.354609929,0.088652482,0.265957447,0.110815603,0,0.05923001,0.019743337,3.164556962,48.10126582,8.842,73.799,5.699,4.195,7.366,8,8.477,13,206,1,9,5,2685,6.894599,11,11,12,High
1922,10,0,318,1.396,8,23,2.8,13.8,4.1,74.9,-0.808440042,7,0,30.82706767,1.503759398,0.847107438,0.185950413,0.41322314,0.495867769,0,0.054904832,0.018301611,3.50877193,44.61152882,9.726,77.812,6.227,5.1,6.76,9.2,9.325,28,433,0,2,8,0,0,0,3,4,High
1934,10,0,134,591,1,8,8,16.7,4.2,71.1,0.154410064,1,0,35.94771242,3.267973856,0.381832797,0.100482315,0.140675241,0.221061093,0,0.053409293,0.017803098,1.960784314,43.1372549,9.188,73.255,7.265,6.776,7.843,9.2,8.809,9,187,0,2,5,0,0,0,3,4,High
2026,10,0,131,554,1,4,4,32.7,4.1,57.9,1.725135951,2,0.75,33.33333333,0.709219858,0.528272354,0.156525142,0.097828214,0.078262571,0,0.052101424,0.017367141,2.836879433,55.31914894,12.458,48.851,17.708,19.73,7.327,20,11.944,8,180,0,2,5,0,0,0,3,4,High
2081,10,0,146,580,1,4,4,36.5,3.8,53.8,0.828006911,4,0,25.76687117,1.840490798,0.39901197,0.17100513,0.07600228,0.24700741,0,0.050667117,0.016889039,1.226993865,60.12269939,16.322,43.133,19.747,21.204,6.044,24,15.649,16,201,0,2,5,0,0,0,3,4,High
