Paragraphs,Sentences,Sentences per Paragraph,Nouns,Verbs,Adverbs,Adjectives,StopWords,BadgeCount,MemberSince,Past Reviews,Label
3,10,3.3,11.25541126,1.731601732,5.194805195,6.060606061,46.33204633,3,17,0,High
1,27,27,10.33112583,2.38410596,5.298013245,5.165562914,50.57471264,2,18,0,High
6,32,5.3,5.617977528,1.926163724,2.086677368,2.64847512,43.92857143,7,18,67,High
5,28,5.6,5.790884718,0.428954424,1.715817694,1.983914209,42.09770115,5,10,3574,High
9,42,4.6,4.456721915,0.662983425,1.841620626,1.915285451,46.25779626,3,18,593,High
11,42,4.2,2.769055096,0.913502712,1.741364545,1.769911504,52.87356322,4,16,37,High
2,6,3,0.704225352,0.216684724,0.352112676,0.297941495,51.9047619,2,11,0,High
6,20,3.3,1.77799135,0.336376742,0.696780394,0.888995675,49.70530452,5,15,3891,Low
1,13,13,0.823987182,0.183108263,0.228885328,0.228885328,50,2,16,25,High
1,13,13,0.354609929,0.088652482,0.265957447,0.110815603,48.10126582,9,5,11,High
8,23,2.8,0.847107438,0.185950413,0.41322314,0.495867769,44.61152882,2,8,0,High
1,8,8,0.381832797,0.100482315,0.140675241,0.221061093,43.1372549,2,5,0,High
1,4,4,0.528272354,0.156525142,0.097828214,0.078262571,55.31914894,2,5,0,High
1,4,4,0.39901197,0.17100513,0.07600228,0.24700741,60.12269939,2,5,0,High
2,11,5.5,0.316043874,0.204498978,0.055772448,0.167317345,44.28571429,2,6,0,High
7,27,3.8,2.442078898,0.673137132,0.563556669,1.31496556,47.64862467,11,12,1170,High
1,12,12,0.441938433,0.091435538,0.213349589,0.106674794,52.55102041,3,6,0,High
1,6,6,0.179802218,0.059934073,0.119868145,0.104884627,49.21875,4,6,52,High
5,14,2.8,0.511322133,0.043827611,0.073046019,0.277574872,37.11340206,3,14,4720,High
1,9,9,0.258212595,0.043035433,0.086070865,0.129106298,50.35971223,2,11,0,High
1,10,10,0.267342057,0.126635711,0.084423808,0.084423808,56.16438356,2,11,0,High
6,10,1.6,0.235261555,0.05535566,0.13838915,0.069194575,48.14814815,2,11,0,High
3,10,3.3,0.470493346,0.094098669,0.268853341,0.174754671,39.40677966,2,12,0,High
1,7,7,0.264655286,0,0.105862115,0.079396586,45.92592593,2,12,0,High
7,17,2.4,0.878060846,0.234974029,0.408112788,0.494682167,48.70466321,6,11,20,High
1,8,8,0.218552695,0.109276348,0.121418164,0.109276348,57.73809524,2,11,0,High
3,9,3,0.297053232,0.118821293,0.142585551,0.154467681,46.79802956,3,12,0,High
3,10,3.3,0.314648642,0.046614614,0.081575574,0.139843841,50.53763441,3,11,0,High
1,12,12,0.261452768,0.06820507,0.284187791,0.125042628,45.78313253,2,11,0,High
6,26,4.3,0.637699957,0.194552529,0.42153048,0.399913532,47.57281553,3,16,0,High
4,12,3,0.367299822,0.146919929,0.262357015,0.199391332,58.16326531,2,10,18,High
1,14,14,0.398202981,0.061261997,0.102103329,0.224627323,35.7615894,4,13,1104,High
1,5,5,0.250601443,0.070168404,0.120288693,0.080192462,48.97959184,2,11,0,High
1,11,11,0.266719352,0.059270967,0.039513978,0.088906451,39.75903614,2,10,0,High
2,2,1,0.204778157,0.029254022,0.058508045,0.136518771,56.64335664,2,10,0,High
1,6,6,0.173310225,0.096283459,0.086655113,0.077026767,59.71223022,2,11,0,High
3,11,3.6,0.383320868,0.102842184,0.215033657,0.186985789,55.65749235,2,11,0,High
4,9,2.2,0.257566001,0.036795143,0.110385429,0.0643915,48.16753927,2,14,18,High
24,34,1.4,0.648724467,0.324362234,0.47339353,0.245463312,50,2,16,12,High
1,5,5,0.104429554,0.008702463,0.034809851,0.06091724,52.12765957,2,15,0,High
1,2,2,0.112204385,0.069048852,0.034524426,0.069048852,53.27102804,2,0,0,High
3,9,3,0.196095149,0.034103504,0.04262938,0.068207008,45.67901235,2,1.1,0,High
5,24,4.8,0.473933649,0.187939206,0.335022062,0.245138094,47.75086505,2,1.1,0,High
4,6,1.5,0.137763371,0.032414911,0.072933549,0.064829822,51.32743363,3,3.9,0,High
1,6,6,0.160436387,0.056152735,0.040109097,0.112305471,49.62406015,3,9,0,High
3,11,3.6,0.460469835,0.085850308,0.085850308,0.163896043,51.13924051,2,1.1,0,High
5,9,2.2,0.116261045,0.046504418,0.023252209,0.023252209,41.41414141,2,1.1,0,High
2,6,3,0.168996774,0.038408358,0.030726686,0.023045015,51.18110236,8,1.1,0,High
1,14,14,0.264570262,0.030236601,0.075591504,0.120946406,51.91489362,2,3.7,0,High
7,36,5.1,1.009957326,0.120910384,0.291607397,0.341394026,50.37194474,2,5,0,High
3,10,3.3,0.189526885,0.091253685,0.070195142,0.084234171,51.45631068,2,3.2,0,High
8,16,2,0.167014614,0,0,0.083507307,29.41176471,2,1.1,0,High
2,17,8.5,0.22638403,0.041160733,0.089181587,0.048020855,42.56198347,2,1.1,0,High
3,19,6.3,0.215459197,0.080797199,0.195259898,0.107729599,50,3,14,0,High
3,9,3,0.093495392,0.053425938,0.073460665,0.020034727,51.49253731,8,2.4,55,High
4,5,1.2,0.138999206,0.00661901,0.059571088,0.059571088,35.29411765,2,7,0,High
5,18,3.6,0.200842242,0.123096858,0.181405896,0.09718173,50.70422535,2,2.11,0,High
4,9,2.2,0.25502072,0.070130698,0.114759324,0.057379662,50.90909091,10,12,977,High
1,11,11,0.151515152,0.050505051,0.050505051,0.044191919,54.16666667,2,5,0,High
2,2,1,0.633798525,0.085319032,0.097507465,0.225486014,57.93103448,12,15,226,High
1,7,7,0.144813854,0.036203463,0.084474748,0.072406927,43.97905759,2,2,0,High
10,37,3.7,0.876640119,0.108863806,0.240646307,0.286483699,50.35105316,2,4.5,0,High
1,3,3,0.079708495,0.022773856,0.045547711,0.045547711,55.26315789,10,3.6,0,High
1,2,2,0.056541898,0.039579328,0.033925139,0.039579328,53.6,2,3.5,0,High
3,33,11,0.432710741,0.043818809,0.169797886,0.197184642,43.90977444,2,2.3,0,High
1,9,9,0.130470236,0.01087252,0.043490079,0.070671378,41.66666667,2,2.6,0,High
3,12,4,0.29385051,0.058770102,0.096169258,0.122882941,54.75504323,2,2.6,27,High
5,14,2.8,0.288911068,0.052529285,0.042023428,0.152334927,41.66666667,12,9,156,High
3,10,3.3,0.093896714,0.010432968,0.057381325,0.057381325,50,5,2.1,0,High
5,6,1.5,0.134854772,0.005186722,0.020746888,0.072614108,37.70491803,2,2.6,0,High
1,10,10,0.148710323,0.041023537,0.123070612,0.076919132,45.49019608,4,12,642,High
5,14,2.8,0.406116821,0.055151667,0.100275758,0.140386062,48.03312629,3,2.7,0,High
3,9,3,0.129173291,0.064586645,0.049682035,0.059618442,52.47524752,3,2.11,0,High
16,28,1.8,0.498084291,0.052681992,0.07183908,0.186781609,35.72296476,5,11,0,High
3,12,4,0.14714957,0.009493521,0.023733802,0.061707884,44.11764706,5,3.1,0,High
4,15,3.7,0.145690384,0.046996898,0.061095968,0.046996898,45.88744589,2,2.7,0,High
1,8,8,0.144616533,0.023325247,0.051315544,0.027990297,48.52071006,8,2.7,0,High
1,5,5,0.069576511,0.032469038,0.041745907,0.037107473,54.88721805,2,8,0,High
1,8,8,0.0968456,0.013835086,0.041505257,0.032281867,47.79411765,3,3.1,11,High
1,13,13,0.077960194,0.022929469,0.032101257,0.032101257,40,12,11,0,High
2,11,5.5,0.127423318,0.027304997,0.040957495,0.063711659,39.89637306,2,2.9,0,High
5,12,2.4,0.130671833,0.022529626,0.072094805,0.103636282,45.64315353,4,5,145,High
3,10,3.3,0.07171029,0.053782718,0.008963786,0.062746504,48.09160305,2,8,0,High
1,9,9,0.1024362,0.004453748,0.017814991,0.04008373,42.58064516,15,3.9,0,High
1,8,8,0.048722151,0.048722151,0.026575719,0.017717146,42.25352113,2,3.7,0,High
4,4,1,0.145157034,0.013196094,0.017594792,0.074777866,43.16939891,2,7,0,High
3,15,5,0.122190705,0.021819769,0.026183722,0.056731399,41.82692308,37,13,9349,High
1,8,8,0.112812947,0.017355838,0.043389595,0.043389595,47.5862069,3,4.2,0,High
3,10,3.3,0.090556274,0.012936611,0.051746442,0.021561018,54.14012739,5,4.1,0,High
5,40,8,0.533377781,0.070839237,0.187515626,0.275022919,38.83495146,2,4,0,High
1,7,7,0.111879998,0.024862222,0.037293333,0.037293333,49.33333333,2,4.4,0,High
1,13,13,0.09057971,0.016469038,0.065876153,0.053524374,42.45810056,2,12,0,High
1,5,5,0.089946441,0.04497322,0.032707797,0.032707797,44.1025641,3,8,0,Low
4,11,2.7,0.081201786,0.028420625,0.044660983,0.032480715,47.64397906,2,5,0,High
5,18,3.6,0.227699437,0.05193145,0.083889266,0.13182599,48.90350877,1,0,12,High
1,15,15,0.087284269,0.019837334,0.071414402,0.071414402,44.22110553,15,15,3208,High
1,8,8,0.110279638,0.039385585,0.023631351,0.063016936,52.21674877,2,5,0,High
7,21,3,0.220998759,0.073666253,0.09692928,0.09692928,48.2300885,2,6,0,High
5,9,1.8,0.149694853,0.034544966,0.049898284,0.072928262,49.8245614,2,11,0,High
11,42,4.2,0.306622294,0.108439592,0.168268332,0.179486221,40.93711467,36,3.11,173,High
3,14,4.6,0.033534541,0.00745212,0.01117818,0.0186303,26.78571429,7,11,2028,High
4,8,2,0.231438963,0.044083612,0.066125418,0.080819955,42.22222222,2,12,0,Low
1,14,14,0.098479046,0.025531604,0.032826349,0.051063209,45.20547945,4,9,315,High
4,28,7,0.158529995,0.03242659,0.086470906,0.093676815,45.57291667,3,12,0,High
5,17,3.4,0.110390998,0.067658999,0.099707998,0.053414999,50.84745763,2,1.1,0,High
5,31,7.7,0.303686121,0.080284837,0.087266127,0.115191287,49.0228013,1,0,20,High
1,12,12,0.072843317,0.027749835,0.045093482,0.024281106,50.51546392,2,3.1,0,High
1,12,12,0.07251882,0.027626217,0.031079494,0.037986049,50.99337748,2,4.9,0,High
1,5,5,0.085922464,0.027495188,0.020621391,0.04811658,52.05479452,2,3,0,High
1,10,10,0.092260379,0.017085255,0.020502307,0.020502307,50.53191489,2,2.7,0,High
4,15,3.7,0.145535775,0.054152846,0.071075611,0.030460976,53.94736842,9,2.11,0,High
4,8,2,0.073986884,0.026904322,0.050445603,0.047082563,54.10628019,4,4.8,0,High
9,10,1.1,0.070335265,0.006698597,0.04019158,0.010047895,51.87969925,2,7,0,High
6,13,2.1,0.096563665,0.016648908,0.039957379,0.033297816,47.12041885,2,6,0,High
3,14,4.6,0.141815903,0.065960885,0.092345239,0.052768708,50.9202454,3,7,0,High
6,12,2.4,0.088457884,0.032762179,0.042590833,0.026209743,47.11111111,0,13,0,High
2,8,4,0.048957211,0.013055256,0.026110513,0.029374327,44.85294118,0,0,0,High
1,8,8,0.052024061,0.019509023,0.009754511,0.016257519,50.37593985,0,17,0,High
1,3,3,0.038950922,0.00324591,0.00973773,0.012983641,44.06779661,0,5,0,High
3,12,4,0.118994018,0.032160545,0.057888982,0.045024764,49.36305732,2,5,0,High
8,0,0,0.054502901,0.048090795,0.016030265,0.006412106,59.01639344,1,7,0,High
2,7,3.5,0.063824355,0.009573653,0.022338524,0.038294613,41.17647059,2,13,0,High
1,9,9,0.085733338,0.028577779,0.028577779,0.057155558,45.0867052,2,6,0,High
8,40,5,0.444870092,0.074145015,0.123575025,0.228613797,43.71196755,2,9,488,High
5,24,4.8,0.171013254,0.054968546,0.100775667,0.04886093,51.92307692,2,11,0,High
7,12,1.7,0.081974679,0.024288794,0.045541488,0.060721984,43.85964912,6,12,0,High
3,18,6,0.07243315,0.042252671,0.057342911,0.033198527,56.17021277,2,11,0,High
4,14,4.6,0.110795029,0.017966761,0.074861506,0.071867046,47.24137931,2,12,288,High
8,29,3.6,0.238888725,0.05898487,0.120918984,0.073731088,51.46804836,3,12,0,High
1,7,7,0.052854123,0.014681701,0.014681701,0.026427061,53.65853659,3,0,0,High
1,7,7,0.055579933,0.005850519,0.026327337,0.008775779,50.69444444,2,8,0,High
8,14,2,0.136255581,0.034788659,0.037687714,0.052182988,47.41641337,2,9,159,High
